tid,cls,row,col
1,0,0,27
1,0,0,70
1,0,0,114
1,0,2,135
1,0,2,140
1,0,2,197
1,0,4,235
1,0,5,71
1,0,5,246
1,0,10,77
1,0,10,93
1,0,10,180
1,0,12,209
1,0,17,216
1,0,19,33
1,0,19,208
1,0,22,184
1,0,28,134
1,0,30,192
1,0,31,17
1,0,31,172
1,0,34,176
1,0,36,40
1,0,38,112
1,0,38,178
1,0,38,185
1,0,39,90
1,0,39,200
1,0,44,143
1,0,47,165
1,0,48,173
1,0,53,167
1,0,54,21
1,0,54,136
1,0,57,251
1,0,59,118
1,0,59,163
1,0,63,193
1,0,67,231
1,0,68,142
1,0,69,205
1,0,69,249
1,0,72,25
1,0,73,202
1,0,73,218
1,0,74,111
1,0,74,141
1,0,76,47
1,0,76,137
1,0,77,10
1,0,77,46
1,0,77,193
1,0,78,96
1,0,78,158
1,0,78,251
1,0,82,221
1,0,83,138
1,0,84,111
1,0,90,10
1,0,92,166
1,0,96,138
1,0,96,218
1,0,104,211
1,0,106,177
1,0,108,251
1,0,110,211
1,0,111,97
1,0,112,152
1,0,114,179
1,0,114,208
1,0,115,140
1,0,115,241
1,0,117,182
1,0,120,198
1,0,124,154
1,0,130,137
1,0,132,166
1,0,133,152
1,0,134,6
1,0,134,120
1,0,136,96
1,0,137,242
1,0,139,39
1,0,139,133
1,0,139,199
1,0,139,224
1,0,143,234
1,0,144,201
1,0,148,148
1,0,153,194
1,0,154,67
1,0,157,109
1,0,158,144
1,0,159,253
1,0,160,47
1,0,160,73
1,0,160,222
1,0,161,199
1,0,162,24
1,0,168,216
1,0,172,17
1,0,174,151
1,0,175,43
1,0,175,77
1,0,175,159
1,0,179,132
1,0,180,29
1,0,182,245
1,0,188,238
1,0,189,26
1,0,189,68
1,0,190,163
1,0,191,236
1,0,192,134
1,0,193,60
1,0,197,119
1,0,198,116
1,0,203,187
1,0,204,14
1,0,204,211
1,0,213,225
1,0,216,80
1,0,216,205
1,0,220,241
1,0,221,49
1,0,221,181
1,0,222,135
1,0,223,19
1,0,224,74
1,0,231,238
1,0,232,72
1,0,233,240
1,0,237,76
1,0,239,90
1,0,245,112
2,0,1,110
2,0,2,153
2,0,7,87
2,0,9,81
2,0,9,138
2,0,11,99
2,0,14,5
2,0,14,12
2,0,17,83
2,0,17,242
2,0,18,240
2,0,19,177
2,0,22,0
2,0,23,46
2,0,24,242
2,0,25,0
2,0,25,133
2,0,30,184
2,0,35,2
2,0,37,20
2,0,40,92
2,0,40,174
2,0,42,66
